epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
74,2746.82,1.41048,1.36676,0.00943,0.62142,0.54881,0.56688,0.38057,1.73772,2.09362,0.01364,0.000303997,0.000303997,0.000303997
75,2784.1,1.43577,1.40251,0.00917,0.58749,0.52551,0.54577,0.36341,1.70947,2.1217,0.01368,0.000301641,0.000301641,0.000301641
76,2821.62,1.42787,1.37133,0.00899,0.54279,0.59163,0.56201,0.36266,1.78903,1.95948,0.01508,0.000299285,0.000299285,0.000299285
77,2857.6,1.41462,1.36882,0.00871,0.7212,0.50584,0.56826,0.36008,1.86319,2.0297,0.01545,0.000296929,0.000296929,0.000296929
78,2893.64,1.38961,1.36425,0.00898,0.67069,0.53706,0.55812,0.36304,1.77609,1.97723,0.01388,0.000294573,0.000294573,0.000294573
79,2928.6,1.40541,1.29822,0.00913,0.7344,0.46474,0.56261,0.37566,1.76557,1.96273,0.01387,0.000292216,0.000292216,0.000292216
80,2964.92,1.3717,1.32284,0.00898,0.59446,0.53596,0.53854,0.35515,1.78338,1.99399,0.01339,0.00028986,0.00028986,0.00028986
81,3000.89,1.43664,1.29835,0.0092,0.54188,0.58884,0.58101,0.38159,1.73409,1.96756,0.01353,0.000287504,0.000287504,0.000287504
82,3037.37,1.39914,1.26992,0.00933,0.62633,0.55176,0.57915,0.38227,1.73825,1.92294,0.01377,0.000285148,0.000285148,0.000285148
83,3072.83,1.39704,1.29427,0.00938,0.62852,0.53635,0.54336,0.35782,1.81963,2.07864,0.01536,0.000282792,0.000282792,0.000282792
84,3108.82,1.36764,1.24962,0.00908,0.69118,0.52297,0.56866,0.39201,1.74274,1.99299,0.01311,0.000280435,0.000280435,0.000280435
85,3144.49,1.3607,1.29104,0.00886,0.65526,0.51644,0.56731,0.37057,1.83722,1.96952,0.01486,0.000278079,0.000278079,0.000278079
86,3181.09,1.34863,1.21297,0.00881,0.56509,0.54409,0.53704,0.35936,1.81492,2.07833,0.014,0.000275723,0.000275723,0.000275723
87,3216.4,1.38522,1.25448,0.0089,0.66441,0.54935,0.58976,0.38138,1.79017,1.94293,0.01417,0.000273367,0.000273367,0.000273367
88,3252.73,1.32994,1.237,0.00821,0.62412,0.52963,0.5631,0.36924,1.79258,2.08788,0.01357,0.000271011,0.000271011,0.000271011
89,3288.12,1.36055,1.21515,0.00842,0.55249,0.54544,0.55937,0.3728,1.79545,2.00186,0.01442,0.000268654,0.000268654,0.000268654
90,3324.73,1.34083,1.23792,0.00876,0.57163,0.52395,0.52817,0.36277,1.81954,2.04162,0.01514,0.000266298,0.000266298,0.000266298
91,3359.98,1.35891,1.1945,0.0085,0.52024,0.56875,0.55221,0.38312,1.75306,2.07259,0.01338,0.000263942,0.000263942,0.000263942
92,3396.45,1.32901,1.23639,0.00869,0.65987,0.52417,0.57695,0.39071,1.7212,2.08711,0.01341,0.000261586,0.000261586,0.000261586
93,3433.55,1.32418,1.18931,0.00833,0.66638,0.51261,0.55098,0.37387,1.80001,2.12101,0.01413,0.00025923,0.00025923,0.00025923
94,3471.99,1.34423,1.21012,0.00841,0.64715,0.52913,0.55873,0.37926,1.81663,2.07784,0.01381,0.000256873,0.000256873,0.000256873
95,3510.42,1.359,1.21598,0.00842,0.7319,0.47796,0.56489,0.38013,1.75577,2.07261,0.0132,0.000254517,0.000254517,0.000254517
96,3546.62,1.36688,1.19479,0.00863,0.66211,0.54941,0.57263,0.3762,1.81,2.13532,0.01385,0.000252161,0.000252161,0.000252161
97,3585.35,1.33834,1.20534,0.00842,0.65604,0.53417,0.55645,0.38109,1.74748,1.97968,0.01349,0.000249805,0.000249805,0.000249805
98,3622.94,1.31905,1.14013,0.00857,0.60262,0.59823,0.59958,0.38589,1.7893,2.01633,0.01348,0.000247449,0.000247449,0.000247449
99,3659.49,1.34354,1.182,0.0082,0.60425,0.61101,0.59832,0.40025,1.742,2.06285,0.01305,0.000245092,0.000245092,0.000245092
100,3695.82,1.30636,1.12406,0.00812,0.68274,0.49388,0.54513,0.36727,1.80674,2.06758,0.01346,0.000242736,0.000242736,0.000242736
101,3733.78,1.32512,1.14983,0.00824,0.6094,0.54376,0.57838,0.37416,1.76225,2.01293,0.01402,0.00024038,0.00024038,0.00024038
102,3773.19,1.3378,1.13603,0.00803,0.59846,0.56425,0.58799,0.3896,1.76694,2.07134,0.01444,0.000238024,0.000238024,0.000238024
103,3809.16,1.30764,1.13868,0.00789,0.53812,0.58568,0.56782,0.39032,1.77532,2.07329,0.01408,0.000235668,0.000235668,0.000235668
104,3845.48,1.28984,1.13523,0.0078,0.53074,0.55681,0.554,0.39432,1.70092,1.99365,0.01328,0.000233311,0.000233311,0.000233311
105,3881.36,1.26162,1.09718,0.00757,0.56384,0.5777,0.55357,0.38314,1.76635,2.0824,0.01343,0.000230955,0.000230955,0.000230955
106,3917.32,1.28674,1.10745,0.00825,0.68214,0.51938,0.57102,0.39961,1.74854,2.06113,0.01321,0.000228599,0.000228599,0.000228599
107,3952.62,1.30937,1.11268,0.00806,0.64241,0.52926,0.57983,0.41139,1.68777,2.02375,0.01307,0.000226243,0.000226243,0.000226243
108,3988.62,1.26342,1.11333,0.0076,0.54162,0.58824,0.58251,0.39874,1.7329,2.06984,0.01261,0.000223887,0.000223887,0.000223887
109,4024.92,1.30147,1.12331,0.00806,0.63087,0.53619,0.58152,0.39288,1.84023,2.01615,0.01464,0.00022153,0.00022153,0.00022153
110,4060.71,1.24078,1.06299,0.00741,0.54884,0.57703,0.57101,0.38798,1.78801,2.00611,0.01389,0.000219174,0.000219174,0.000219174
111,4096.74,1.2669,1.07855,0.00791,0.56574,0.59791,0.58388,0.40084,1.77602,1.98977,0.01404,0.000216818,0.000216818,0.000216818
112,4132.49,1.29606,1.10186,0.00808,0.57081,0.57782,0.58378,0.3995,1.78293,2.0007,0.01433,0.000214462,0.000214462,0.000214462
113,4168.6,1.2666,1.07375,0.00748,0.78846,0.47758,0.56547,0.38007,1.81699,2.02573,0.0146,0.000212106,0.000212106,0.000212106
114,4204.52,1.28469,1.06306,0.00727,0.68008,0.5405,0.59739,0.39857,1.76296,1.99012,0.01366,0.000209749,0.000209749,0.000209749
115,4240.55,1.24289,1.02899,0.00749,0.62688,0.58504,0.57882,0.3946,1.72764,2.06396,0.01286,0.000207393,0.000207393,0.000207393
116,4276.54,1.26072,1.04245,0.00742,0.58042,0.58035,0.58133,0.3976,1.7627,2.03692,0.01284,0.000205037,0.000205037,0.000205037
117,4312.44,1.24675,1.01757,0.00738,0.55202,0.60253,0.56654,0.3801,1.76813,2.02944,0.01332,0.000202681,0.000202681,0.000202681
118,4348.13,1.28645,1.05319,0.00784,0.62628,0.55761,0.5817,0.38558,1.85523,1.96994,0.01428,0.000200325,0.000200325,0.000200325
119,4384.53,1.23449,1.00481,0.0071,0.63915,0.5594,0.57831,0.39589,1.79227,2.09699,0.01319,0.000197968,0.000197968,0.000197968
120,4421.11,1.20483,0.99634,0.00736,0.6839,0.55655,0.60529,0.40314,1.73361,1.95575,0.01343,0.000195612,0.000195612,0.000195612
121,4456.97,1.24128,1.01321,0.00728,0.63783,0.54447,0.58771,0.40228,1.72843,1.97696,0.01353,0.000193256,0.000193256,0.000193256
122,4492.93,1.22368,0.99267,0.0073,0.59261,0.58602,0.58604,0.39008,1.76176,2.04414,0.01331,0.0001909,0.0001909,0.0001909
123,4528.63,1.23474,1.03264,0.00724,0.59286,0.55844,0.57996,0.3863,1.78474,2.08297,0.01292,0.000188544,0.000188544,0.000188544
124,4564.85,1.26038,1.04257,0.0072,0.62756,0.58096,0.59339,0.3983,1.75488,1.99758,0.01311,0.000186187,0.000186187,0.000186187
125,4600.27,1.19402,0.98646,0.0072,0.59778,0.57896,0.58608,0.39532,1.77926,1.97167,0.0131,0.000183831,0.000183831,0.000183831
126,4636.56,1.19329,0.94202,0.007,0.62209,0.58313,0.59642,0.40371,1.73716,2.04025,0.01293,0.000181475,0.000181475,0.000181475
127,4671.2,1.19094,0.95471,0.00711,0.58649,0.60351,0.58704,0.3954,1.7688,2.05208,0.01309,0.000179119,0.000179119,0.000179119
128,4708.05,1.19852,0.9844,0.00709,0.55853,0.599,0.56169,0.36797,1.75961,2.04648,0.01323,0.000176763,0.000176763,0.000176763
129,4744.18,1.26589,1.01504,0.00684,0.6029,0.57001,0.58147,0.39644,1.7581,2.0578,0.01312,0.000174406,0.000174406,0.000174406
130,4779.47,1.20841,1.0001,0.00704,0.64829,0.52757,0.58636,0.40104,1.79651,2.09207,0.0132,0.00017205,0.00017205,0.00017205
131,4815.86,1.19833,0.97595,0.00685,0.5801,0.60699,0.58842,0.38528,1.82088,2.10706,0.0134,0.000169694,0.000169694,0.000169694
132,4851.52,1.19591,0.9743,0.00672,0.61748,0.57141,0.59559,0.40037,1.83258,1.96321,0.01324,0.000167338,0.000167338,0.000167338
133,4887.92,1.18134,0.94432,0.00702,0.55311,0.60169,0.60772,0.40646,1.77177,2.03514,0.01328,0.000164982,0.000164982,0.000164982
134,4923.55,1.1733,0.94635,0.00679,0.58417,0.59185,0.60077,0.39039,1.76973,2.03109,0.01306,0.000162625,0.000162625,0.000162625
