run,data,val_imgs,R@0.25,P@0.25,R@F1max,P@F1max,F1max_conf,peakR,peakR_P
012_yolov8s_psa_p5,configs/own_dataset.yaml,-1,0.5224,0.5821,0.5308,0.5822,0.243,0.8082,0.0531
048_yolo11s_v2_1280_os_warm,configs/own_dataset_v2_oversampled.yaml,0,0.5189,0.5218,0.5159,0.5248,0.253,0.779,0.0831
005_yolo26n,configs/own_dataset.yaml,-1,0.5097,0.596,0.5424,0.5707,0.2,0.8002,0.0474
016_yolo11s_enhanced,configs/own_dataset.yaml,-1,0.5041,0.5703,0.4651,0.646,0.361,0.8431,0.0366
051_yolo10s_v2,configs/own_dataset_v2.yaml,-1,0.4988,0.6866,0.5357,0.641,0.187,0.777,0.0931
017_yolo11s_p2_deep_se,configs/own_dataset.yaml,-1,0.4982,0.5955,0.4956,0.6047,0.263,0.8335,0.0366
009_yolo11s_psa_p3,configs/own_dataset.yaml,-1,0.4971,0.5419,0.5055,0.534,0.236,0.8005,0.0338
015_yoloworlds_psa,configs/own_dataset_world.yaml,-1,0.4899,0.5622,0.62,0.4644,0.096,0.8216,0.042
020_yolo11s_strong_aug,configs/own_dataset.yaml,-1,0.487,0.5455,0.5548,0.4943,0.162,0.7958,0.0683
026_dinov3_full,configs/own_dataset.yaml,-1,0.4838,0.5106,0.4481,0.5797,0.368,0.7528,0.0305
057_yolo26s_v2_cos,configs/own_dataset_v2.yaml,-1,0.4824,0.6155,0.5494,0.5623,0.171,0.8175,0.075
052_yolo26s_v2,configs/own_dataset_v2.yaml,-1,0.4759,0.6775,0.5775,0.5789,0.134,0.8009,0.0717
010_yolo11s_psa_p4,configs/own_dataset.yaml,-1,0.4558,0.5763,0.4899,0.5588,0.224,0.8153,0.0386
027_yolo11s_dinov3_fusion_v2,configs/own_dataset.yaml,-1,0.4379,0.4518,0.543,0.3615,0.143,0.7944,0.0216
011_yolo11s_psa_p345,configs/own_dataset.yaml,-1,0.4303,0.5149,0.475,0.4877,0.203,0.7947,0.0329
022_yolo11m_1280,configs/own_dataset.yaml,-1,0.4266,0.5872,0.5015,0.5467,0.181,0.8118,0.0575
049_yolo11s_v2_multiscale,configs/own_dataset_v2.yaml,-1,0.3574,0.6187,0.3923,0.5693,0.206,0.7858,0.0292
043_yolo11s_dinov3_hybrid_100ep,configs/own_dataset_weak.yaml,-1,0.305,0.3964,0.3761,0.3218,0.122,0.6814,0.0561
042_yolo11s_dinov3_vitms_100ep,configs/own_dataset_weak.yaml,-1,0.2662,0.372,0.2913,0.3345,0.168,0.5233,0.06
040_yolo11s_dinov3_hybrid,configs/own_dataset_weak.yaml,-1,0.2435,0.3485,0.2892,0.3079,0.169,0.7154,0.0271
038_yolo11s_dinov3_convnext,configs/own_dataset_weak.yaml,-1,0.2429,0.3404,0.3002,0.3094,0.177,0.6635,0.0299
039_yolo11s_dinov3_vitms,configs/own_dataset_weak.yaml,-1,0.242,0.3288,0.2365,0.3433,0.279,0.6312,0.0236
041_yolo11s_dinov3_convnext_100ep,configs/own_dataset_weak.yaml,-1,0.2233,0.3392,0.236,0.3328,0.225,0.6444,0.0321
037_yolo11s_dinov3_hybrid,configs/own_dataset_weak.yaml,-1,0.1278,0.3661,0.1381,0.2578,0.187,0.409,0.0085
035_yolo11s_dinov3_convnext,configs/own_dataset_weak.yaml,-1,0.0998,0.32,0.1979,0.2258,0.08,0.487,0.0136
036_yolo11s_dinov3_vitms,configs/own_dataset_weak.yaml,-1,0.0486,0.5734,0.0644,0.5297,0.109,0.3242,0.0078
023_yolo11s_p2_nose,configs/own_dataset.yaml,-1,0.0368,0.5655,0.1987,0.2918,0.031,0.4282,0.0063
