epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
58,12202.8,0.34548,0.3528,0.04941,0.58654,0.60633,0.58521,0.39734,0.81606,0.62244,0.28789,0.000102935,0.000102935,0.000102935
59,12413.4,0.34117,0.34735,0.05034,0.62082,0.59821,0.57503,0.38979,0.81462,0.63327,0.27423,9.639e-05,9.639e-05,9.639e-05
60,12624.4,0.34507,0.34508,0.04824,0.6103,0.59038,0.57407,0.39438,0.79915,0.63107,0.26518,8.9845e-05,8.9845e-05,8.9845e-05
61,12835.5,0.34648,0.34835,0.05163,0.59259,0.62049,0.59263,0.39921,0.80939,0.65845,0.26974,8.33e-05,8.33e-05,8.33e-05
62,13047.6,0.34602,0.34942,0.0497,0.63603,0.63555,0.5969,0.39402,0.79007,0.66826,0.28729,7.6755e-05,7.6755e-05,7.6755e-05
63,13259.6,0.32011,0.32993,0.04396,0.62225,0.6458,0.61284,0.41371,0.7943,0.65442,0.27717,7.021e-05,7.021e-05,7.021e-05
64,13469.6,0.29957,0.31754,0.04042,0.63634,0.6412,0.62194,0.41172,0.79325,0.65232,0.2811,6.3665e-05,6.3665e-05,6.3665e-05
65,13679.5,0.29708,0.31644,0.04129,0.56339,0.64015,0.60466,0.4189,0.80075,0.67527,0.28134,5.712e-05,5.712e-05,5.712e-05
66,13889.5,0.28264,0.30998,0.03888,0.61917,0.65106,0.61662,0.40505,0.81675,0.64463,0.29169,5.0575e-05,5.0575e-05,5.0575e-05
67,14098,0.29127,0.3083,0.0466,0.6283,0.66465,0.63071,0.4308,0.78481,0.65404,0.27584,4.403e-05,4.403e-05,4.403e-05
68,14306.9,0.2842,0.30684,0.03718,0.58574,0.64993,0.61526,0.42725,0.80374,0.65387,0.27489,3.7485e-05,3.7485e-05,3.7485e-05
69,14516.9,0.2847,0.30316,0.03813,0.61712,0.66653,0.63334,0.42636,0.80793,0.62924,0.27922,3.094e-05,3.094e-05,3.094e-05
70,14726.4,0.28697,0.29914,0.03759,0.61971,0.64863,0.6236,0.42158,0.81897,0.61411,0.28188,2.4395e-05,2.4395e-05,2.4395e-05
71,14934.5,0.27095,0.30191,0.0373,0.63494,0.64642,0.62421,0.42138,0.81052,0.63113,0.28212,1.785e-05,1.785e-05,1.785e-05
72,15143.8,0.26975,0.29431,0.0359,0.60099,0.65487,0.62485,0.42486,0.80805,0.62521,0.28131,1.1305e-05,1.1305e-05,1.1305e-05
