epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
87,3134.75,1.24759,1.10559,0.00733,0.52985,0.61399,0.59782,0.41518,1.70284,1.89553,0.01288,2.71846e-05,2.71846e-05,2.71846e-05
88,3170.56,1.21326,1.06249,0.00689,0.57273,0.6224,0.60307,0.42186,1.66937,1.90212,0.01237,2.41387e-05,2.41387e-05,2.41387e-05
89,3206.05,1.23528,1.06937,0.00731,0.56837,0.60473,0.60124,0.41539,1.71853,1.89445,0.01314,2.13061e-05,2.13061e-05,2.13061e-05
90,3242.59,1.19852,1.11913,0.00723,0.58508,0.60413,0.60605,0.41897,1.71032,1.85773,0.01289,1.86897e-05,1.86897e-05,1.86897e-05
91,3287.6,1.31511,1.06221,0.01006,0.62456,0.54608,0.56492,0.39103,1.77503,1.97739,0.01459,1.62921e-05,1.62921e-05,1.62921e-05
92,3323.46,1.27153,1.03297,0.00976,0.53505,0.58633,0.55792,0.38869,1.76357,1.95032,0.01412,1.41156e-05,1.41156e-05,1.41156e-05
93,3359.55,1.27415,1.0333,0.00951,0.61636,0.54211,0.55885,0.39291,1.74732,1.94917,0.01398,1.21624e-05,1.21624e-05,1.21624e-05
94,3394.8,1.29947,1.005,0.00959,0.62309,0.55776,0.56416,0.39046,1.73502,1.92874,0.01388,1.04345e-05,1.04345e-05,1.04345e-05
95,3430.21,1.25001,0.97155,0.00865,0.60497,0.56062,0.56737,0.39009,1.74646,1.95034,0.01382,8.93348e-06,8.93348e-06,8.93348e-06
96,3465.43,1.26545,0.97365,0.00874,0.59477,0.56681,0.56784,0.39275,1.73205,1.93919,0.01363,7.66087e-06,7.66087e-06,7.66087e-06
97,3500.35,1.26218,0.9926,0.00882,0.54946,0.56306,0.55929,0.38451,1.72246,1.96566,0.01358,6.61793e-06,6.61793e-06,6.61793e-06
98,3535.62,1.2443,0.97579,0.00872,0.5836,0.56223,0.57001,0.39047,1.72895,1.94296,0.01361,5.80569e-06,5.80569e-06,5.80569e-06
99,3570.81,1.25621,0.93737,0.0087,0.57557,0.56021,0.56448,0.39116,1.72718,1.95569,0.01366,5.22494e-06,5.22494e-06,5.22494e-06
100,3605.77,1.23203,0.93952,0.00868,0.58757,0.5582,0.56415,0.39011,1.72724,1.95714,0.01369,4.87626e-06,4.87626e-06,4.87626e-06
